datetime,q,c,datetime_MST
2024-10-24 18:14:00,-0.10533740048771616,0.03148028013968688,2024-10-24 12:14:00
2024-10-24 18:29:00,-0.10533799701355669,0.031191714436035863,2024-10-24 12:29:00
2024-10-24 18:44:00,-0.10533658928349454,0.030900530562848676,2024-10-24 12:44:00
2024-10-24 18:59:00,-0.10534032367438365,0.03060640243598907,2024-10-24 12:59:00
2024-10-24 19:14:00,-0.10534778560147912,0.030309261081587685,2024-10-24 13:14:00
2024-10-24 19:29:00,-0.10535514648828387,0.03000904668078148,2024-10-24 13:29:00
2024-10-24 19:44:00,-0.10536561791072782,0.029705614683293434,2024-10-24 13:44:00
2024-10-24 19:59:00,-0.10537366788277407,0.02939912727004868,2024-10-24 13:59:00
2024-10-24 20:14:00,-0.10537832432854122,0.029089758291449122,2024-10-24 14:14:00
2024-10-24 20:29:00,-0.10537227364962165,0.02877777988848898,2024-10-24 14:29:00
2024-10-24 20:44:00,-0.10535358820628514,0.0284633607681112,2024-10-24 14:44:00
2024-10-24 20:59:00,-0.10531740688454479,0.02814660475821231,2024-10-24 14:59:00
2024-10-24 21:14:00,-0.10526345383332188,0.027827519445353114,2024-10-24 15:14:00
2024-10-24 21:29:00,-0.1051900970586184,0.02750601762739378,2024-10-24 15:29:00
2024-10-24 21:44:00,-0.1050985243497298,0.027181988067444863,2024-10-24 15:44:00
2024-10-24 21:59:00,-0.1049885212545741,0.026855285145916043,2024-10-24 15:59:00
2024-10-24 22:14:00,-0.10486179845908014,0.026525757420737782,2024-10-24 16:14:00
2024-10-24 22:29:00,-0.10472018830195323,0.02619317071652421,2024-10-24 16:29:00
2024-10-24 22:44:00,-0.10456417736698724,0.025857327919193387,2024-10-24 16:44:00
2024-10-24 22:59:00,-0.10439417190302552,0.025518107716947593,2024-10-24 16:59:00
2024-10-24 23:14:00,-0.10421024424085197,0.02517538029603112,2024-10-24 17:14:00
2024-10-24 23:29:00,-0.1040131206725946,0.02482904304399295,2024-10-24 17:29:00
2024-10-24 23:44:00,-0.10380333908546706,0.024479051905000576,2024-10-24 17:44:00
2024-10-24 23:59:00,-0.10358000468688783,0.02412559532463531,2024-10-24 17:59:00
2024-10-25 00:14:00,-0.10334229765092429,0.023768834268218377,2024-10-24 18:14:00
2024-10-25 00:29:00,-0.10308935938226836,0.02340895499585971,2024-10-24 18:29:00
2024-10-25 00:44:00,-0.10282037338664118,0.0230462003315013,2024-10-24 18:44:00
2024-10-25 00:59:00,-0.102534803265394,0.022680883230934087,2024-10-24 18:59:00
2024-10-25 01:14:00,-0.10223274641761802,0.022313398230762713,2024-10-24 19:14:00
2024-10-25 01:29:00,-0.10191540132297709,0.021944227377105992,2024-10-24 19:29:00
2024-10-25 01:44:00,-0.10158557259726018,0.02157387259730686,2024-10-24 19:44:00
2024-10-25 01:59:00,-0.10124784079538483,0.021202935270920212,2024-10-24 19:59:00
2024-10-25 02:14:00,-0.1009012453583653,0.020832456321999794,2024-10-24 20:14:00
2024-10-25 02:29:00,-0.10054684262636664,0.02046334130021634,2024-10-24 20:29:00
2024-10-25 02:44:00,-0.10018847132660792,0.02009673030026475,2024-10-24 20:44:00
2024-10-25 02:59:00,-0.09983292531606361,0.019733590410575378,2024-10-24 20:59:00
2024-10-25 03:14:00,-0.09947991918315234,0.019375161055775053,2024-10-24 21:14:00
2024-10-25 03:29:00,-0.09913222713989082,0.019022546271199873,2024-10-24 21:29:00
2024-10-25 03:44:00,-0.09879592351108021,0.01867665747432413,2024-10-24 21:44:00
2024-10-25 03:59:00,-0.09846768972809232,0.018338514017414848,2024-10-24 21:59:00
2024-10-25 04:14:00,-0.09814792648019596,0.018008899878933313,2024-10-24 22:14:00
2024-10-25 04:29:00,-0.09784148709158202,0.017688712656886933,2024-10-24 22:29:00
2024-10-25 04:44:00,-0.09755742296197159,0.017378714744844426,2024-10-24 22:44:00
2024-10-25 04:59:00,-0.09729350420180123,0.017079550561210525,2024-10-24 22:59:00
2024-10-25 05:14:00,-0.09705216424353766,0.01679169712969286,2024-10-24 23:14:00
2024-10-25 05:29:00,-0.09684019279394933,0.016515207881346645,2024-10-24 23:29:00
2024-10-25 05:44:00,-0.09665228083671622,0.016250285898771914,2024-10-24 23:44:00
2024-10-25 05:59:00,-0.09648822574229374,0.01599678240055016,2024-10-24 23:59:00
2024-10-25 06:14:00,-0.09635379234515203,0.01575453135608594,2024-10-25 00:14:00
2024-10-25 06:29:00,-0.09626053041816111,0.015523484078694296,2024-10-25 00:29:00
2024-10-25 06:44:00,-0.09620656408013423,0.015303555894716991,2024-10-25 00:44:00
2024-10-25 06:59:00,-0.09619588226850317,0.015094736878246038,2024-10-25 00:59:00
2024-10-25 07:14:00,-0.09623746119292978,0.014896712606647058,2024-10-25 01:14:00
2024-10-25 07:29:00,-0.09632606826252887,0.01470924131382289,2024-10-25 01:29:00
2024-10-25 07:44:00,-0.09646196264356928,0.014532214741801044,2024-10-25 01:44:00
2024-10-25 07:59:00,-0.09664997851855234,0.014365454073557701,2024-10-25 01:59:00
2024-10-25 08:14:00,-0.09687925217463964,0.014208921694425412,2024-10-25 02:14:00
2024-10-25 08:29:00,-0.09714367110934599,0.014062278329897636,2024-10-25 02:29:00
2024-10-25 08:44:00,-0.09744284426974124,0.013925232813474436,2024-10-25 02:44:00
2024-10-25 08:59:00,-0.09778203845936391,0.01379756999491531,2024-10-25 02:59:00
2024-10-25 09:14:00,-0.09817100685696588,0.013678626856327996,2024-10-25 03:14:00
2024-10-25 09:29:00,-0.09860324554483778,0.013567923514473964,2024-10-25 03:29:00
2024-10-25 09:44:00,-0.09907794223421316,0.013465213866508832,2024-10-25 03:44:00
2024-10-25 09:59:00,-0.09959942524145707,0.01337005829217902,2024-10-25 03:59:00
2024-10-25 10:14:00,-0.1001775371381661,0.013282156911333482,2024-10-25 04:14:00
2024-10-25 10:29:00,-0.10080480989116408,0.013201464888022891,2024-10-25 04:29:00
2024-10-25 10:44:00,-0.10147877684626078,0.013127740905586584,2024-10-25 04:44:00
2024-10-25 10:59:00,-0.10220248945026118,0.0130607901760682,2024-10-25 04:59:00
2024-10-25 11:14:00,-0.10298388658374091,0.013000462711645589,2024-10-25 05:14:00
2024-10-25 11:29:00,-0.10381189047641164,0.012946507591426102,2024-10-25 05:29:00
2024-10-25 11:44:00,-0.10468085384806003,0.012898853084276489,2024-10-25 05:44:00
2024-10-25 11:59:00,-0.10559099580705379,0.012857697313125204,2024-10-25 05:59:00
2024-10-25 12:14:00,-0.10654791492355038,0.01282308449293919,2024-10-25 06:14:00
2024-10-25 12:29:00,-0.10756289561218056,0.012795234798298784,2024-10-25 06:29:00
2024-10-25 12:44:00,-0.10862886413031844,0.01277465336087766,2024-10-25 06:44:00
2024-10-25 12:59:00,-0.10974382140184764,0.01276167354115809,2024-10-25 06:59:00
2024-10-25 13:14:00,-0.11091133475059571,0.012756693283058855,2024-10-25 07:14:00
2024-10-25 13:29:00,-0.11213986180542879,0.01276016414586361,2024-10-25 07:29:00
2024-10-25 13:44:00,-0.1134171268889859,0.012772447578012283,2024-10-25 07:44:00
2024-10-25 13:59:00,-0.11473613419493436,0.012794100292000295,2024-10-25 07:59:00
2024-10-25 14:14:00,-0.11609556236782634,0.012825958768251001,2024-10-25 08:14:00
2024-10-25 14:29:00,-0.11749952007633714,0.012868883540572449,2024-10-25 08:29:00
2024-10-25 14:44:00,-0.11895753968648289,0.012923926449694211,2024-10-25 08:44:00
2024-10-25 14:59:00,-0.12045794381707453,0.01299188542585754,2024-10-25 08:59:00
2024-10-25 15:14:00,-0.12199446582756736,0.013073315389857265,2024-10-25 09:14:00
2024-10-25 15:29:00,-0.1235660262783332,0.013168454954627064,2024-10-25 09:29:00
2024-10-25 15:44:00,-0.12517561905519076,0.013277527525807341,2024-10-25 09:44:00
2024-10-25 15:59:00,-0.1268028697379854,0.013400510985751643,2024-10-25 09:59:00
2024-10-25 16:14:00,-0.12843070982287907,0.013537053937143056,2024-10-25 10:14:00
2024-10-25 16:29:00,-0.13004499489183255,0.01368674349960936,2024-10-25 10:29:00
2024-10-25 16:44:00,-0.13163375788081674,0.013848736832488408,2024-10-25 10:44:00
2024-10-25 16:59:00,-0.13318635279539914,0.014021941906753469,2024-10-25 10:59:00
2024-10-25 17:14:00,-0.1346923301537028,0.014205097387211194,2024-10-25 11:14:00
2024-10-25 17:29:00,-0.13614028523851288,0.014396825634306809,2024-10-25 11:29:00
2024-10-25 17:44:00,-0.137517362981031,0.014595585366650352,2024-10-25 11:44:00
2024-10-25 17:59:00,-0.1388098291788989,0.014799450285438281,2024-10-25 11:59:00
2024-10-25 18:14:00,-0.1400015715001449,0.015006340880884593,2024-10-25 12:14:00
2024-10-25 18:29:00,-0.14109217737295993,0.015214429378818691,2024-10-25 12:29:00
2024-10-25 18:44:00,-0.14207744834440322,0.015421881990781353,2024-10-25 12:44:00
2024-10-25 18:59:00,-0.14295013131458584,0.01562680508283983,2024-10-25 12:59:00
2024-10-25 19:14:00,-0.14371489232744275,0.015827468319233002,2024-10-25 13:14:00
2024-10-25 19:29:00,-0.1443726069535098,0.01602217307054615,2024-10-25 13:29:00
2024-10-25 19:44:00,-0.1449327554028425,0.016209422454863287,2024-10-25 13:44:00
2024-10-25 19:59:00,-0.14540088298955534,0.016387793408904585,2024-10-25 13:59:00
2024-10-25 20:14:00,-0.14578717156801219,0.016556175265436627,2024-10-25 14:14:00
2024-10-25 20:29:00,-0.14609691841802488,0.016713657671926743,2024-10-25 14:29:00
2024-10-25 20:44:00,-0.14634072008929155,0.01685940583768323,2024-10-25 14:44:00
2024-10-25 20:59:00,-0.14652728924693934,0.016992613188641252,2024-10-25 14:59:00
2024-10-25 21:14:00,-0.14666726260119647,0.01711269441795046,2024-10-25 15:14:00
2024-10-25 21:29:00,-0.14676855185538898,0.017219206124184774,2024-10-25 15:29:00
2024-10-25 21:44:00,-0.14683950036500426,0.017311875928331978,2024-10-25 15:44:00
2024-10-25 21:59:00,-0.1468854828942899,0.017390572672466454,2024-10-25 15:59:00
